FAC,MOH_Name.x,Type.x,Plan
600,ATIKOKAN GENERAL,Small Hospital,None
601,GUELPH HOMEWOOD,Specialty Mental Health Hospital,None
605,TORONTO ST. JOSEPH'S INFIRMARY,Chronic/Rehab Hospital,None
613,TORONTO WEST PARK,Chronic/Rehab Hospital,None
626,CARLETON PLACE & DISTRICT,Small Hospital,Partner covered
627,CHAPLEAU SER DE SANTÃ‰ DE CHAPLEA,Small Hospital, Added
633,CLINTON PUBLIC,Small Hospital,Partner Huron
663,GODERICH ALEXANDRA MARINE & GEN,Small Hospital,Partner  Huron Health
680,TORONTO DON MILLS SURGICAL UNIT,Other Hospital,None Other
682,HORNEPAYNE COMMUNITY,Small Hospital,None
685,IROQUOIS FALLS ANSON GENERAL,Small Hospital,Partner Mics
687,KAPUSKASING SENSENBRENNER,Small Hospital,none
699,KITCHENER ST MARY'S,Large Community Hospital,None Partner WRHA
784,MANITOUWADGE SANTE MANITOUWADGE,Small Hospital,ok
723,MATHESON BINGHAM MEMORIAL,Small Hospital,Ok Partn er
739,NIPIGON DISTRICT MEMORIAL,Small Hospital,added.
792,ST MARYS MEMORIAL,Small Hospital,2/16/2026
801,SEAFORTH COMMUNITY,Small Hospital,
813,STRATFORD GENERAL,Large Community Hospital,
814,STRATHROY MIDDLESEX GENERAL,Large Community Hospital,
824,TILLSONBURG DISTRICT MEMORIAL,Small Hospital,
855,THORNHILL SHOULDICE HOSPITAL,Other Hospital,
889,WINGHAM & DISTRICT,Small Hospital,
907,TIMMINS & DISTRICT GENERAL,Large Community Hospital,
908,TORONTO BELLWOOD HEALTH SERVICES,Other Hospital,
927,WINDSOR HOTEL DIEU GRACE,Chronic/Rehab Hospital,
930,KITCHENER GRAND RIVER,Large Community Hospital,
933,WINDSOR REGIONAL,Large Community Hospital,
963,MOUNT FOREST NORTH WELLINGTON HC,Small Hospital,
966,SARNIA BLUEWATER HEALTH,Large Community Hospital,
968,HUNTSVILLE MUSKOKA ALGONQUIN HC,Large Community Hospital,
971,SUDBURY ST.JOSEPH'S CONTINUING CARE,Small Hospital,
972,PENETANGUISHENE WAYPOINT,Specialty Mental Health Hospital,
977,TERRACE BAY NORTH OF SUPERIOR HC,Small Hospital,
978,KINGSTON KINGSTON HEALTH SCIENCES,Teaching Hospital,
980,TORONTO UNITY HEALTH TORONTO,Teaching Hospital,
981,CHATHAM CHATHAM-KENT HEALTH ALLIANCE,Large Community Hospital,
